# X Axis,A,output,C
2.015000000000000238e+09,-4.784447466393280024e+01,-8.845330198296909430e+01,-4.060882731903630116e+01
2.049999999999999762e+09,-4.787081127363880029e+01,-8.864532627586149260e+01,-4.077451500222269942e+01
2.085000000000000000e+09,-4.789766463413459974e+01,-8.883567229581009883e+01,-4.093800766167549909e+01
2.120000000000000000e+09,-4.792503801300389910e+01,-8.902443114871100249e+01,-4.109939313570710340e+01
2.155000000000000000e+09,-4.795293476419050194e+01,-8.921168998934270178e+01,-4.125875522515219984e+01
2.190000000000000000e+09,-4.798135833412239748e+01,-8.939753229748899344e+01,-4.141617396336660306e+01
2.225000000000000000e+09,-4.801031226854210132e+01,-8.958203813373630453e+01,-4.157172586519420321e+01
2.260000000000000000e+09,-4.803980022010559736e+01,-8.976528437699400342e+01,-4.172548415688839896e+01
2.295000000000000000e+09,-4.806982595681959936e+01,-8.994734494558480264e+01,-4.187751898876520329e+01
2.330000000000000000e+09,-4.810039337139750160e+01,-9.012829100357299694e+01,-4.202789763217550245e+01
2.365000000000000000e+09,-4.813150649161369898e+01,-9.030819115383630447e+01,-4.217668466222259838e+01
2.400000000000000000e+09,-4.816316949175009654e+01,-9.048711161925180591e+01,-4.232394212750170226e+01
2.435000000000000000e+09,-4.819538670523100166e+01,-9.066511641324470361e+01,-4.246972970801370195e+01
2.470000000000000000e+09,-4.822816263855820296e+01,-9.084226750084729929e+01,-4.261410486228910344e+01
2.505000000000000000e+09,-4.826150198665789759e+01,-9.101862495131679509e+01,-4.275712296465889750e+01
2.540000000000000000e+09,-4.829540964977390161e+01,-9.119424708329350437e+01,-4.289883743351960277e+01
2.575000000000000000e+09,-4.832989075204149998e+01,-9.136919060339970144e+01,-4.303929985135820147e+01
2.610000000000000000e+09,-4.836495066189939962e+01,-9.154351073913539949e+01,-4.317856007723599987e+01
2.645000000000000000e+09,-4.840059501449999857e+01,-9.171726136686270081e+01,-4.331666635236270224e+01
2.680000000000000000e+09,-4.843682973630770050e+01,-9.189049513564629024e+01,-4.345366539933859684e+01
2.715000000000000000e+09,-4.847366107207759711e+01,-9.206326358766870044e+01,-4.358960251559110333e+01
2.750000000000000000e+09,-4.851109561443559670e+01,-9.223561727592360171e+01,-4.372452166148799790e+01
2.785000000000000000e+09,-4.854914033629579961e+01,-9.240760587986309815e+01,-4.385846554356729854e+01
2.820000000000000000e+09,-4.858780262638349967e+01,-9.257927831967370480e+01,-4.399147569329019802e+01
2.855000000000000000e+09,-4.862709032813960164e+01,-9.275068286982769905e+01,-4.412359254168809741e+01
2.890000000000000000e+09,-4.866701178233140013e+01,-9.292186727258089718e+01,-4.425485549024949705e+01
2.925000000000000000e+09,-4.870757587370940200e+01,-9.309287885207120894e+01,-4.438530297836179983e+01
2.960000000000000000e+09,-4.874879208209630121e+01,-9.326376462970100079e+01,-4.451497254760469957e+01
2.995000000000000000e+09,-4.879067053832380196e+01,-9.343457144149050464e+01,-4.464390090316670268e+01
3.030000000000000000e+09,-4.883322208548239729e+01,-9.360534605812270570e+01,-4.477212397264030130e+01
3.065000000000000000e+09,-4.887645834599830152e+01,-9.377613530843240142e+01,-4.489967696243409989e+01
3.100000000000000000e+09,-4.892039179509679769e+01,-9.394698620712100023e+01,-4.502659441202420254e+01
3.135000000000000000e+09,-4.896503584128880249e+01,-9.411794608754431124e+01,-4.515291024625550165e+01
3.170000000000000000e+09,-4.901040491456750203e+01,-9.428906274045850466e+01,-4.527865782589100263e+01
3.205000000000000000e+09,-4.905651456309429648e+01,-9.446038455969210190e+01,-4.540386999659779832e+01
3.240000000000000000e+09,-4.910338155923359693e+01,-9.463196069578100378e+01,-4.552857913654739974e+01
3.275000000000000000e+09,-4.915102401589179948e+01,-9.480384121869610681e+01,-4.565281720280430022e+01
3.310000000000000000e+09,-4.919946151424080227e+01,-9.497607729090640305e+01,-4.577661577666560078e+01
3.345000000000000000e+09,-4.924871524401609690e+01,-9.514872135212920057e+01,-4.590000610811309656e+01
3.380000000000000000e+09,-4.929880815774429692e+01,-9.532182731727559144e+01,-4.602301915953130163e+01
3.415000000000000000e+09,-4.934976514039919948e+01,-9.549545078924430186e+01,-4.614568564884510238e+01
3.450000000000000000e+09,-4.940161319619849678e+01,-9.566964928842419624e+01,-4.626803609222569946e+01
3.485000000000000000e+09,-4.945438165445259671e+01,-9.584448250096559718e+01,-4.639010084651300048e+01
3.520000000000000000e+09,-4.950810239663540102e+01,-9.602001254813851006e+01,-4.651191015150310193e+01
3.555000000000000000e+09,-4.956281010713539814e+01,-9.619630427938379569e+01,-4.663349417224839755e+01
3.590000000000000000e+09,-4.961854255047430229e+01,-9.637342559199561265e+01,-4.675488304152130326e+01
3.625000000000000000e+09,-4.967534087817279698e+01,-9.655144778076659406e+01,-4.687610690259379709e+01
3.660000000000000000e+09,-4.973324996888040062e+01,-9.673044592137009090e+01,-4.699719595248969739e+01
3.695000000000000000e+09,-4.979231880591959936e+01,-9.691049929179030187e+01,-4.711818048587070251e+01
3.730000000000000000e+09,-4.985260089698739705e+01,-9.709169183671170344e+01,-4.723909093972429929e+01
3.765000000000000000e+09,-4.991415474148330134e+01,-9.727411268051091042e+01,-4.735995793902760198e+01
3.800000000000000000e+09,-4.997704435175160143e+01,-9.745785669532300233e+01,-4.748081234357140090e+01
3.835000000000000000e+09,-5.004133983551670184e+01,-9.764302513165529263e+01,-4.760168529613859789e+01
